# TextGrid to CSV (D. Gibbon, 2008-11-23)
# Open the file with OpenOffice.org Calc or MS-Excel.
FileName	TierType	TierName	Label	Start	End	Duration
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	43.075 	43.335 	0.259999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"整整" 	43.335 	43.745 	0.4099999999999966
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"三" 	43.745 	43.975 	0.23000000000000398
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"個" 	43.975 	44.04 	0.06499999999999773
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"星期" 	44.04 	44.685 	0.6450000000000031
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	44.685 	44.8 	0.11499999999999488
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	44.8 	44.96 	0.1600000000000037
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"阿力" 	44.96 	45.205 	0.24499999999999744
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"一直" 	45.205 	45.665 	0.46000000000000085
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"吃" 	45.665 	45.97 	0.3049999999999997
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"魚" 	45.97 	46.5 	0.5300000000000011
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"吃" 	46.5 	46.885 	0.384999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"蛋" 	46.885 	47.27 	0.3850000000000051
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"吃" 	47.27 	47.55 	0.27999999999999403
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"雞肉" 	47.55 	48.25 	0.7000000000000028
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"起" 	48.25 	48.545 	0.2950000000000017
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"司" 	48.545 	48.9 	0.3549999999999969
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"和" 	48.9 	49.115 	0.2150000000000034
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"烤" 	49.115 	49.36 	0.24499999999999744
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"豆子" 	49.36 	50.37 	1.009999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	50.37 	50.425 	0.054999999999999716
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	50.425 	50.44 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"他" 	50.44 	50.515 	0.07500000000000284
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"每天" 	50.515 	50.88 	0.365000000000002
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"喝" 	50.88 	51.065 	0.18499999999999517
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"八" 	51.065 	51.235 	0.1700000000000017
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"杯" 	51.235 	51.42 	0.18500000000000227
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"牛奶" 	51.42 	51.955 	0.5349999999999966
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	51.955 	52.32 	0.365000000000002
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	52.32 	52.405 	0.08500000000000085
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"媽媽" 	52.405 	52.585 	0.17999999999999972
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"加" 	52.585 	52.805 	0.21999999999999886
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"了" 	52.805 	52.875 	0.07000000000000028
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"許多" 	52.875 	53.27 	0.3950000000000031
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"蛋白質" 	53.27 	53.835 	0.5649999999999977
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"在" 	53.835 	53.995 	0.1599999999999966
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"裡頭" 	53.995 	54.5 	0.5050000000000026
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	54.5 	54.745 	0.24499999999999744
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	54.745 	55.8049999 	1.059999900000001
