phonogram3967index,index,type,zhuyin,tone,stroke,orthographicgroup,phoneticradical,homograph_cnts,homophone_cnts,freq_char,freq_char(log),freq_char_4.0,freq_char_4.0(log),fre_cd,xasbc_cf_million,freq_syllable_4.0,freq_syllable_4.0(log),phoneticcom,FF_friends,FF(type),FF(1500),FF(2000),FF(log),FB_group_code,FB_total,FB_friend,FB_total_freq,FB_freq_friend,FB_freq_enemy,FB(type),FB(token),FB(1500),FB(5000),FB(log),註記,說明
0,5586,螽,ㄓㄨㄥ,1,17,冬,冬,1,8,2,0.30 ,24,1.380211242,6,3.01 ,99052,5.00 ,5,2,0.4,0.6411443,0.703510601,0.444673958,2,8,2,99052,5226,93826,0.25 ,0.05 ,0.21 ,0.33 ,0.22 ,,螽斯
1555,5587,鍾,ㄓㄨㄥ,1,17,重,重,1,8,1055,3.02 ,865,2.937016107,357,35.44 ,99052,5.00 ,9,5,0.555555556,0.502637363,0.489076073,0.563902315,3,8,1,99052,865,98187,0.13 ,0.01 ,0.12 ,0.06 ,0.13 ,,
808,5588,鐘,ㄓㄨㄥ,1,20,童,童,1,8,2025,3.31 ,2460,3.390935107,1341,154.12 ,99052,5.00 ,7,1,0.142857143,0.534188034,0.604594921,0.233880903,4,8,1,99052,2460,96592,0.13 ,0.02 ,0.21 ,0.16 ,0.15 ,,
0,5592,塚,ㄓㄨㄥ,3,13,豖,豖,1,4,24,1.38 ,47,1.672097858,33,3.59 ,28602,4.46 ,5,1,0.2,0.026903263,0.020916778,0.169090733,2,4,1,28602,47,28555,0.25 ,0.00 ,0.02 ,0.01 ,0.16 ,,
1557,5589,種,ㄓㄨㄥ,3,14,重,重,2,4,13620,4.13 ,27846,4.444762819,7077,1817.74 ,28602,4.46 ,9,5,0.555555556,0.502637363,0.489076073,0.563902315,1,4,3,28602,28555,47,0.75 ,1.00 ,0.98 ,0.99 ,0.84 ,,
1558,5590,腫,ㄓㄨㄥ,3,13,重,重,1,4,153,2.18 ,643,2.808210973,299,44.77 ,28602,4.46 ,9,5,0.555555556,0.502637363,0.489076073,0.563902315,1,4,3,28602,28555,47,0.75 ,1.00 ,0.98 ,0.99 ,0.84 ,,
1559,5591,踵,ㄓㄨㄥ,3,16,重,重,1,4,51,1.71 ,66,1.819543936,63,4.88 ,28602,4.46 ,9,5,0.555555556,0.502637363,0.489076073,0.563902315,1,4,3,28602,28555,47,0.75 ,1.00 ,0.98 ,0.99 ,0.84 ,,
0,5594,中,ㄓㄨㄥ,4,4,中,.,2,5,98151,4.99 ,88452,4.946707657,14152,5969.53 ,152058,5.18 ,.,.,.,.,.,.,1,5,2,152058,89103,62955,0.40 ,0.59 ,0.32 ,0.27 ,0.38 ,,
3786,5595,仲,ㄓㄨㄥ,4,6,中,中,1,5,1076,3.03 ,651,2.813580989,291,42.05 ,152058,5.18 ,6,4,0.666666667,0.769044006,0.780121352,0.670062777,1,5,2,152058,89103,62955,0.40 ,0.59 ,0.32 ,0.27 ,0.38 ,,
0,5596,重,ㄓㄨㄥ,4,9,重,.,2,5,25878,4.41 ,25985,4.414722721,8619,1663.76 ,152058,5.18 ,.,.,.,.,.,.,2,5,2,152058,53831,98227,0.40 ,0.35 ,0.45 ,0.48 ,0.43 ,,
1556,5597,種,ㄓㄨㄥ,4,14,重,重,2,5,13620,4.13 ,27846,4.444762819,7077,1817.74 ,152058,5.18 ,9,5,0.555555556,0.502637363,0.489076073,0.563902315,2,5,2,152058,53831,98227,0.40 ,0.35 ,0.45 ,0.48 ,0.43 ,,
0,5598,眾,ㄓㄨㄥ,4,11,眾,.,1,5,11991,4.08 ,9124,3.960185277,3879,573.00 ,152058,5.18 ,.,.,.,.,.,.,3,5,1,152058,9124,142934,0.20 ,0.06 ,0.23 ,0.24 ,0.19 ,,
0,5614,癡,ㄔ,1,19,,,1,8,55,1.74 ,394,2.595496222,227,6.03 ,8058,3.91 ,3,1,0.333333333,0.207368421,0.164166667,0.37515523,8,8,1,8058,394,7664,0.13 ,0.05 ,0.19 ,0.07 ,0.18 ,,
3910,5599,吃,ㄔ,1,6,乞,乞,2,8,3134,3.50 ,7477,3.873727381,2550,472.55 ,8058,3.91 ,10,1,0.1,0.226928896,0.232288037,0.162014268,1,8,1,8058,7477,581,0.13 ,0.93 ,0.72 ,0.90 ,0.27 ,,
3292,5600,笞,ㄔ,1,11,台,台,1,8,9,0.95 ,10,1,9,0.43 ,8058,3.91 ,16,1,0.0625,0.001606426,0.001384083,0.028214903,2,8,1,8058,10,8048,0.13 ,0.00 ,0.00 ,0.00 ,0.07 ,,
3165,5601,鴟,ㄔ,1,16,氐,氐,1,8,4,0.60 ,6,0.77815125,3,0.57 ,8058,3.91 ,10,1,0.1,0.001278772,0.001054111,0.03742181,3,8,1,8058,6,8052,0.13 ,0.00 ,0.00 ,0.00 ,0.05 ,,
0,5605,哧,ㄔ,1,10,赤,赤,2,8,5,0.70 ,15,1.176091259,12,1.00 ,8058,3.91 ,5,2,0.4,0.053475936,0.053475936,0.286186306,9,8,1,8058,15,8043,0.13 ,0.00 ,0.01 ,0.00 ,0.08 ,b,噗哧
0,5607,喫,ㄔ,1,12,契,契,1,8,13,1.11 ,37,1.568201724,19,3.44 ,8058,3.91 ,3,1,0.333333333,0.46835443,0.46835443,0.37261102,5,8,1,8058,37,8021,0.13 ,0.00 ,0.02 ,0.01 ,0.11 ,,
0,5609,蚩,ㄔ,1,10,蚩,.,1,8,3,0.48 ,66,1.819543936,4,0.14 ,8058,3.91 ,.,.,.,.,.,.,6,8,2,8058,119,7939,0.25 ,0.01 ,0.06 ,0.02 ,0.24 ,,
0,5608,嗤,ㄔ,1,13,蚩,蚩,1,8,15,1.18 ,53,1.72427587,45,3.59 ,8058,3.91 ,1,1,1,1,1,1,6,8,2,8058,119,7939,0.25 ,0.01 ,0.06 ,0.02 ,0.24 ,,
3920,5633,池,ㄔ,2,6,也,也,1,7,1360,3.13 ,1118,3.048441804,501,70.17 ,13651,4.14 ,9,3,0.333333333,0.172672673,0.137972406,0.240285937,5,7,3,13651,1610,12041,0.43 ,0.12 ,0.37 ,0.20 ,0.44 ,,
3921,5634,馳,ㄔ,2,13,也,也,1,7,340,2.53 ,371,2.56937391,270,29.13 ,13651,4.14 ,9,3,0.333333333,0.172672673,0.137972406,0.240285937,5,7,3,13651,1610,12041,0.43 ,0.12 ,0.37 ,0.20 ,0.44 ,,
3919,5635,弛,ㄔ,2,6,也,也,1,7,46,1.66 ,121,2.08278537,61,12.34 ,13651,4.14 ,9,3,0.333333333,0.172672673,0.137972406,0.240285937,5,7,3,13651,1610,12041,0.43 ,0.12 ,0.37 ,0.20 ,0.44 ,,101年ㄕ3(6031)併讀為ㄔ2(5635)
2838,5627,持,ㄔ,2,9,寺,寺,1,7,15510,4.19 ,10765,4.032014034,5203,634.85 ,13651,4.14 ,12,1,0.083333333,0.137224408,0.138590534,0.108574552,4,7,1,13651,10765,2886,0.14 ,0.79 ,0.34 ,0.63 ,0.23 ,,
